Abbrev,Meas Date,Streamflow Value,Streamflow Meas Units,Streamflow Review Status,Streamflow Data Source,
"BLUABLCO","01/01/1990","6.500000","cfs","A","USGS",
"BLUABLCO","01/02/1990","6.900000","cfs","A","USGS",
"BLUABLCO","01/03/1990","6.900000","cfs","A","USGS",
"BLUABLCO","01/04/1990","6.800000","cfs","A","USGS",
"BLUABLCO","01/05/1990","7.300000","cfs","A","USGS",
"BLUABLCO","01/06/1990","7.000000","cfs","A","USGS",
"BLUABLCO","01/07/1990","6.900000","cfs","A","USGS",
"BLUABLCO","01/08/1990","7.200000","cfs","A","USGS",
"BLUABLCO","01/09/1990","7.700000","cfs","A","USGS",
"BLUABLCO","01/10/1990","7.300000","cfs","A","USGS",
"BLUABLCO","01/11/1990","7.100000","cfs","A","USGS",
"BLUABLCO","01/12/1990","7.000000","cfs","A","USGS",
"BLUABLCO","01/13/1990","7.000000","cfs","A","USGS",
"BLUABLCO","01/14/1990","7.200000","cfs","A","USGS",
"BLUABLCO","01/15/1990","6.900000","cfs","A","USGS",
"BLUABLCO","01/16/1990","7.000000","cfs","A","USGS",
"BLUABLCO","01/17/1990","6.700000","cfs","A","USGS",
"BLUABLCO","01/18/1990","6.800000","cfs","A","USGS",
"BLUABLCO","01/19/1990","7.100000","cfs","A","USGS",
"BLUABLCO","01/20/1990","6.900000","cfs","A","USGS",
"BLUABLCO","01/21/1990","6.400000","cfs","A","USGS",
"BLUABLCO","01/22/1990","6.600000","cfs","A","USGS",
"BLUABLCO","01/23/1990","6.400000","cfs","A","USGS",
"BLUABLCO","01/24/1990","6.900000","cfs","A","USGS",
"BLUABLCO","01/25/1990","6.400000","cfs","A","USGS",
"BLUABLCO","01/26/1990","6.400000","cfs","A","USGS",
"BLUABLCO","01/27/1990","6.400000","cfs","A","USGS",
"BLUABLCO","01/28/1990","6.100000","cfs","A","USGS",
"BLUABLCO","01/29/1990","7.100000","cfs","A","USGS",
"BLUABLCO","01/30/1990","7.000000","cfs","A","USGS",
"BLUABLCO","01/31/1990","6.500000","cfs","A","USGS",
"BLUABLCO","02/01/1990","6.400000","cfs","A","USGS",
"BLUABLCO","02/02/1990","6.100000","cfs","A","USGS",
"BLUABLCO","02/03/1990","5.800000","cfs","A","USGS",
"BLUABLCO","02/04/1990","5.700000","cfs","A","USGS",
"BLUABLCO","02/05/1990","5.700000","cfs","A","USGS",
"BLUABLCO","02/06/1990","5.700000","cfs","A","USGS",
"BLUABLCO","02/07/1990","5.700000","cfs","A","USGS",
"BLUABLCO","02/08/1990","5.600000","cfs","A","USGS",
"BLUABLCO","02/09/1990","5.400000","cfs","A","USGS",
"BLUABLCO","02/10/1990","5.300000","cfs","A","USGS",
"BLUABLCO","02/11/1990","5.300000","cfs","A","USGS",
"BLUABLCO","02/12/1990","5.400000","cfs","A","USGS",
"BLUABLCO","02/13/1990","5.600000","cfs","A","USGS",
"BLUABLCO","02/14/1990","5.400000","cfs","A","USGS",
"BLUABLCO","02/15/1990","5.900000","cfs","A","USGS",
"BLUABLCO","02/16/1990","5.400000","cfs","A","USGS",
"BLUABLCO","02/17/1990","5.000000","cfs","A","USGS",
"BLUABLCO","02/18/1990","4.900000","cfs","A","USGS",
"BLUABLCO","02/19/1990","4.700000","cfs","A","USGS",
"BLUABLCO","02/20/1990","4.800000","cfs","A","USGS",
"BLUABLCO","02/21/1990","4.900000","cfs","A","USGS",
"BLUABLCO","02/22/1990","5.000000","cfs","A","USGS",
"BLUABLCO","02/23/1990","4.800000","cfs","A","USGS",
"BLUABLCO","02/24/1990","4.600000","cfs","A","USGS",
"BLUABLCO","02/25/1990","4.500000","cfs","A","USGS",
"BLUABLCO","02/26/1990","4.300000","cfs","A","USGS",
"BLUABLCO","02/27/1990","3.600000","cfs","A","USGS",
"BLUABLCO","02/28/1990","4.700000","cfs","A","USGS",
"BLUABLCO","03/01/1990","4.800000","cfs","A","USGS",
"BLUABLCO","03/02/1990","4.700000","cfs","A","USGS",
"BLUABLCO","03/03/1990","4.600000","cfs","A","USGS",
"BLUABLCO","03/04/1990","4.700000","cfs","A","USGS",
"BLUABLCO","03/05/1990","4.800000","cfs","A","USGS",
"BLUABLCO","03/06/1990","6.100000","cfs","A","USGS",
"BLUABLCO","03/07/1990","5.500000","cfs","A","USGS",
"BLUABLCO","03/08/1990","4.900000","cfs","A","USGS",
"BLUABLCO","03/09/1990","4.600000","cfs","A","USGS",
"BLUABLCO","03/10/1990","4.600000","cfs","A","USGS",
"BLUABLCO","03/11/1990","4.600000","cfs","A","USGS",
"BLUABLCO","03/12/1990","4.800000","cfs","A","USGS",
"BLUABLCO","03/13/1990","5.600000","cfs","A","USGS",
"BLUABLCO","03/14/1990","5.100000","cfs","A","USGS",
"BLUABLCO","03/15/1990","4.700000","cfs","A","USGS",
"BLUABLCO","03/16/1990","4.700000","cfs","A","USGS",
"BLUABLCO","03/17/1990","4.500000","cfs","A","USGS",
