Abbrev,Meas Date,Streamflow Value,Streamflow Meas Units,Streamflow Review Status,Streamflow Data Source,
"BLUNINCO","10/01/1996","43.000000","cfs","A","DWR",
"BLUNINCO","10/02/1996","41.000000","cfs","A","DWR",
"BLUNINCO","10/03/1996","40.000000","cfs","A","DWR",
"BLUNINCO","10/04/1996","40.000000","cfs","A","DWR",
"BLUNINCO","10/05/1996","39.000000","cfs","A","DWR",
"BLUNINCO","10/06/1996","38.000000","cfs","A","DWR",
"BLUNINCO","10/07/1996","38.000000","cfs","A","DWR",
"BLUNINCO","10/08/1996","38.000000","cfs","A","DWR",
"BLUNINCO","10/09/1996","37.000000","cfs","A","DWR",
"BLUNINCO","10/10/1996","36.000000","cfs","A","DWR",
"BLUNINCO","10/11/1996","35.000000","cfs","A","DWR",
"BLUNINCO","10/12/1996","35.000000","cfs","A","DWR",
"BLUNINCO","10/13/1996","39.000000","cfs","A","DWR",
"BLUNINCO","10/14/1996","42.000000","cfs","A","DWR",
"BLUNINCO","10/15/1996","42.000000","cfs","A","DWR",
"BLUNINCO","10/16/1996","42.000000","cfs","A","DWR",
"BLUNINCO","10/17/1996","42.000000","cfs","A","DWR",
"BLUNINCO","10/18/1996","41.000000","cfs","A","DWR",
"BLUNINCO","10/19/1996","40.000000","cfs","A","DWR",
"BLUNINCO","10/20/1996","41.000000","cfs","A","DWR",
"BLUNINCO","10/21/1996","41.000000","cfs","A","DWR",
"BLUNINCO","10/22/1996","36.000000","cfs","A","DWR",
"BLUNINCO","10/23/1996","34.000000","cfs","A","DWR",
"BLUNINCO","10/24/1996","34.000000","cfs","A","DWR",
"BLUNINCO","10/25/1996","34.000000","cfs","A","DWR",
"BLUNINCO","10/26/1996","34.000000","cfs","A","DWR",
"BLUNINCO","10/27/1996","33.000000","cfs","A","DWR",
"BLUNINCO","10/28/1996","30.000000","cfs","A","DWR",
"BLUNINCO","10/29/1996","32.000000","cfs","A","DWR",
"BLUNINCO","10/30/1996","32.000000","cfs","A","DWR",
"BLUNINCO","10/31/1996","32.000000","cfs","A","DWR",
"BLUNINCO","11/01/1996","32.000000","cfs","A","DWR",
"BLUNINCO","11/02/1996","32.000000","cfs","A","DWR",
"BLUNINCO","11/03/1996","31.000000","cfs","A","DWR",
"BLUNINCO","11/04/1996","31.000000","cfs","A","DWR",
"BLUNINCO","11/05/1996","31.000000","cfs","A","DWR",
"BLUNINCO","11/06/1996","31.000000","cfs","A","DWR",
"BLUNINCO","11/07/1996","30.000000","cfs","A","DWR",
"BLUNINCO","11/08/1996","29.000000","cfs","A","DWR",
"BLUNINCO","11/09/1996","29.000000","cfs","A","DWR",
"BLUNINCO","11/10/1996","29.000000","cfs","A","DWR",
"BLUNINCO","11/11/1996","29.000000","cfs","A","DWR",
"BLUNINCO","11/12/1996","29.000000","cfs","A","DWR",
"BLUNINCO","11/13/1996","29.000000","cfs","A","DWR",
"BLUNINCO","11/14/1996","29.000000","cfs","A","DWR",
"BLUNINCO","11/15/1996","28.000000","cfs","A","DWR",
"BLUNINCO","11/16/1996","28.000000","cfs","A","DWR",
"BLUNINCO","11/17/1996","28.000000","cfs","A","DWR",
"BLUNINCO","11/18/1996","28.000000","cfs","A","DWR",
"BLUNINCO","11/19/1996","27.000000","cfs","A","DWR",
"BLUNINCO","11/20/1996","27.000000","cfs","A","DWR",
"BLUNINCO","11/21/1996","26.000000","cfs","A","DWR",
"BLUNINCO","11/22/1996","24.000000","cfs","A","DWR",
"BLUNINCO","11/23/1996","23.000000","cfs","A","DWR",
"BLUNINCO","11/24/1996","22.000000","cfs","A","DWR",
"BLUNINCO","11/25/1996","21.000000","cfs","A","DWR",
"BLUNINCO","11/26/1996","20.000000","cfs","A","DWR",
"BLUNINCO","11/27/1996","20.000000","cfs","A","DWR",
"BLUNINCO","11/28/1996","20.000000","cfs","A","DWR",
"BLUNINCO","11/29/1996","20.000000","cfs","A","DWR",
