Abbrev,Meas Date,Streamflow Value,Streamflow Meas Units,Streamflow Review Status,Streamflow Data Source,
"BLUNDICO","01/01/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/02/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/03/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/04/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/05/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/06/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/07/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/08/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/09/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/10/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/11/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/12/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/13/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/14/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/15/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/16/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/17/1990","23.000000","cfs","A","USGS",
"BLUNDICO","01/18/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/19/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/20/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/21/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/22/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/23/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/24/1990","25.000000","cfs","A","USGS",
"BLUNDICO","01/25/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/26/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/27/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/28/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/29/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/30/1990","24.000000","cfs","A","USGS",
"BLUNDICO","01/31/1990","24.000000","cfs","A","USGS",
"BLUNDICO","02/01/1990","24.000000","cfs","A","USGS",
"BLUNDICO","02/02/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/03/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/04/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/05/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/06/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/07/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/08/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/09/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/10/1990","22.000000","cfs","A","USGS",
"BLUNDICO","02/11/1990","22.000000","cfs","A","USGS",
"BLUNDICO","02/12/1990","23.000000","cfs","A","USGS",
"BLUNDICO","02/13/1990","22.000000","cfs","A","USGS",
"BLUNDICO","02/14/1990","22.000000","cfs","A","USGS",
"BLUNDICO","02/15/1990","22.000000","cfs","A","USGS",
"BLUNDICO","02/16/1990","22.000000","cfs","A","USGS",
"BLUNDICO","02/17/1990","22.000000","cfs","A","USGS",
"BLUNDICO","02/18/1990","21.000000","cfs","A","USGS",
"BLUNDICO","02/19/1990","21.000000","cfs","A","USGS",
"BLUNDICO","02/20/1990","21.000000","cfs","A","USGS",
"BLUNDICO","02/21/1990","21.000000","cfs","A","USGS",
"BLUNDICO","02/22/1990","20.000000","cfs","A","USGS",
"BLUNDICO","02/23/1990","20.000000","cfs","A","USGS",
"BLUNDICO","02/24/1990","20.000000","cfs","A","USGS",
"BLUNDICO","02/25/1990","20.000000","cfs","A","USGS",
"BLUNDICO","02/26/1990","20.000000","cfs","A","USGS",
"BLUNDICO","02/27/1990","20.000000","cfs","A","USGS",
"BLUNDICO","02/28/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/01/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/02/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/03/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/04/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/05/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/06/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/07/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/08/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/09/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/10/1990","19.000000","cfs","A","USGS",
"BLUNDICO","03/11/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/12/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/13/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/14/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/15/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/16/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/17/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/18/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/19/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/20/1990","20.000000","cfs","A","USGS",
"BLUNDICO","03/21/1990","21.000000","cfs","A","USGS",
"BLUNDICO","03/22/1990","21.000000","cfs","A","USGS",
