Abbrev,Meas Date,Streamflow Value,Streamflow Meas Units,Streamflow Review Status,Streamflow Data Source,
"BLUDILCO","01/01/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/02/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/03/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/04/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/05/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/06/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/07/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/08/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/09/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/10/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/11/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/12/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/13/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/14/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/15/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/16/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/17/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/18/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/19/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/20/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/21/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/22/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/23/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/24/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/25/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/26/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/27/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/28/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/29/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/30/1990","101.000000","cfs","A","USGS",
"BLUDILCO","01/31/1990","101.000000","cfs","A","USGS",
"BLUDILCO","02/01/1990","101.000000","cfs","A","USGS",
