,ds,y,avg_temp,precip_accum,swe,hist_avg_y
0,1990-01-01,6.5,19.0,5.6,4.8,6.43774193548387
1,1990-01-02,6.9,16.0,5.7,4.8,6.50225806451613
2,1990-01-03,6.9,2.0,5.7,4.8,6.673225806451614
3,1990-01-04,6.8,-2.0,5.7,4.8,6.738387096774196
4,1990-01-05,7.3,1.0,5.7,4.8,6.955806451612904
5,1990-01-06,7.0,9.0,5.7,4.9,6.699032258064517
6,1990-01-07,6.9,17.0,5.7,4.9,6.110322580645163
7,1990-01-08,7.2,22.0,5.7,4.9,5.82193548387097
8,1990-01-09,7.7,25.0,6.2,5.3,5.57774193548387
9,1990-01-10,7.3,30.0,6.2,5.4,5.306451612903225
10,1990-01-11,7.1,27.0,6.2,5.4,5.2683870967741955
11,1990-01-12,7.0,25.0,6.2,5.4,5.232258064516129
12,1990-01-13,7.0,22.0,6.2,5.4,5.1654838709677415
13,1990-01-14,7.2,18.0,6.3,5.5,5.147419354838711
14,1990-01-15,6.9,13.0,6.3,5.5,5.056451612903225
15,1990-01-16,7.0,7.0,6.3,5.5,5.0367741935483865
16,1990-01-17,6.7,7.0,6.3,5.5,4.975483870967741
17,1990-01-18,6.8,8.0,6.4,5.6,4.791290322580646
18,1990-01-19,7.1,8.0,6.6,5.7,4.731612903225807
19,1990-01-20,6.9,5.0,6.8,6.0,4.719032258064518
20,1990-01-21,6.4,11.0,6.8,6.0,4.551290322580646
21,1990-01-22,6.6,23.0,6.9,6.0,4.547419354838711
22,1990-01-23,6.4,11.0,6.9,6.0,4.535806451612903
23,1990-01-24,6.9,-3.0,7.0,6.2,4.578709677419356
24,1990-01-25,6.4,10.0,7.1,6.4,4.540645161290323
25,1990-01-26,6.4,20.0,7.2,6.6,4.409677419354839
26,1990-01-27,6.4,-5.0,7.2,6.7,4.40225806451613
27,1990-01-28,6.1,1.0,7.2,6.7,4.382903225806452
28,1990-01-29,7.1,7.0,7.3,6.8,4.338709677419355
29,1990-01-30,7.0,17.0,7.6,7.1,4.33483870967742
30,1990-01-31,6.5,17.0,7.7,7.1,4.319032258064516
31,1990-02-01,6.4,13.0,7.7,7.2,4.593548387096775
32,1990-02-02,6.1,4.0,7.7,7.2,4.564516129032259
33,1990-02-03,5.8,3.0,7.7,7.2,4.433548387096775
34,1990-02-04,5.7,18.0,7.7,7.2,4.330000000000002
